Dir,Bed,Bath,Mts,Precio,geo,Cluster
"Calle A, Irpavi 2, irpavi 2",2,1,304,60000,POINT (-68.0820496 -16.5011812),-1
1063 calle final canada,2,1,174,65000,POINT (-68.1263274 -16.4864047),-1
calle 5-z las nieces c5 final landaeta,6,3,390,95000,POINT (-68.1292611 -16.4882005),-1
19 urb villa adela,3,1,319,96500,POINT (-68.1263274 -16.4864047),-1
"25 25 de calacoto, los pinos ",3,2,135,117000,POINT (-68.1292611 -16.4882005),0
calle 60 chasquipampa,3,2,431,140000,POINT (-68.0410921 -16.5345272),0
"2200 v san antonio, av josefa mujia",4,2,329.39,150000,POINT (-68.1102396 -16.5013349),0
"calle 5 No 75, barrio agrario Mallasa, la paz, bolivia",4,2,200,155000,POINT (-68.1029548 -16.5055758),0
"calle 3 No 992, rosas de wilacota, la paz, bolivia",6,2,559,156000,POINT (-68.0428908 -16.5265569),-1
"calle victoria, pacajes, la paz, bolivia",5,3,345,160000,POINT (-68.0582117 -16.5265099),0
"Av Carlos Loayza Beltran 50, Alto san antonio, La Paz, Bolivia",4,2,407.1,160000,POINT (-68.1088455 -16.5045882),0
"Carandaiti, Cristo Rey, La Paz, Bolivia",4,3,240,165000,POINT (-68.1370996 -16.5122387),0
"Calle 21 140, Colinas de Achumani, La Paz Bolivia",3,3,372.44,182000,POINT (-68.0692373 -16.5288624),0
"Calle E, Irpavi 2, La Paz, Bolivia",4,4,218.14,175278,POINT (-68.0820747 -16.5021211),0
"Rafael Pabon 76, Villa el Carmen, La Paz, Bolivia",5,4,546.06,170000,POINT (-68.1128026 -16.4658671),0
"El pedregal, la Paz, Bolivia",3,3,563,185000,POINT (-68.0545677746202 -16.549055799999998),0
"Avenida A, Pedregal, La Paz, Bolivia",4,5,450,189000,POINT (-68.053502 -16.5482002),0
"Araona 30, San Antonio, La Paz, Bolivia",4,2,760.97,190000,POINT (-68.2676042 -16.5204987),-1
"Alberto Udaeda, Rosales, La Paz, Bolivia",4,5,557.83,193000,POINT (-68.0825737 -16.5303566),0
"Los Rosales 6, Los Rosales, La Paz, Bolivia",3,4,520,198000,POINT (-68.0825737 -16.5303566),0
"Sector F No 10, Urbanización Retamani, Mallasa, La Paz, Bolivia",4,4,700,205000,POINT (-68.090581 -16.5776727),0
"Calle 50 9, Chasquipampa, La Paz, Bolivia",3,2,320.9,208000,POINT (-68.0489001 -16.538895),0
"Urbanizacion Colinas verdes , Las lomas Achumani, La Paz, Bolivia",3,2,437.71,210000,POINT (-68.0692373 -16.5288209),0
"Segurncani, Lomas de Achumani, La Paz, Bolivia",5,5,470,225000,POINT (-68.1234118 -16.5775824),0
"Calle 19, Kantuta, Llojeta, La Paz, Bolivia",4,4,604,220000,POINT (-67.2679389 -16.3999784),0
"Achumani, La Paz, Bolivia",3,4,650,220000,POINT (-67.9382744 -16.8845181),0
"Calle 7 15, Bolonia, La Paz, Bolivia",3,5,670,230000,POINT (-68.1129681 -16.4667665),0
"Calle 2 No 2, Obrajes, La Paz, Bolivia",6,4,611,238000,POINT (-68.1102388 -16.5194813),0
"Calle Felipe Lopez, Alto Miraflores, La Paz, Bolivia",9,4,460,240000,POINT (-68.1231883 -16.4812224),-1
"Calle E, Irpavi 2, La Paz, Bolivia",4,4,276.86,243636,POINT (-68.0820747 -16.5021211),0
"Mote Bello, La Paz, Bolivia",5,4,803,250000,POINT (-68.0723969 -16.4989982),0
"Calle 5 No 6, Pampahasi, La Paz, Bolivia",11,5,639,260000,POINT (-68.1026937 -16.4989404),-1
"Kellumani, La Paz, Bolivia",4,5,632,250000,POINT (-68.0469524 -16.4989372),0
"Calle 2, Mallasa, La Paz, Bolivia",9,3,800,250000,POINT (-68.0902382 -16.5679996),-1
"Centro, La Paz, Bolivia",7,3,612,260000,POINT (-68.1297842 -16.502422),-1
